ベンダ,"GRAPHTEC Corporation"
モデル,"GL2000"
バージョン,"Ver1.10  ","Rev0001"
最大CH数,4
Logic/Pulse,Off
温度単位,C
測定間隔,1s
測定点数,       655
トリガ点,         0
開始時刻,2021-07-31,14:22:43
終了時刻,2021-07-31,14:33:37
トリガ時刻,2021-07-31,14:22:43
アンプ設定
CH,信号名,アンプ,入力,レンジ,フィルタ,スパン,,単位,線色,,,線幅
CH1,"CH1","M",DC,10V,Off,+5.000,-5.000,V,28,5,6,0
CH2,"CH2","M",DC,10V,Off,+5.000,-5.000,V,0,13,23,0
XY設定
XY,トレース,X軸,Y軸
XY1,On,CH1,CH2
XY2,Off,CH1,CH3
XY3,Off,CH1,CH4
XY4,Off,CH1,CH2
ポジション・バーニア設定
CH,ポジション,バーニア
CH1,50%,100.0%
CH2,50%,100.0%
CH3,50%,100.0%
CH4,50%,100.0%
測定値
番号,日付,時間,us,CH1,CH2,Alarm,AlarmOut
NO.,Date,Time,us,"V","V","A1234","AO1234"
       134,2021/7/31,14:24:56,     0,+ 0.146,- 0.108,LLLL,LLLL
       135,2021/7/31,14:24:57,     0,+ 0.064,- 0.113,LLLL,LLLL
       136,2021/7/31,14:24:58,     0,+ 0.094,- 0.106,LLLL,LLLL
       137,2021/7/31,14:24:59,     0,- 0.009,- 0.242,LLLL,LLLL
       138,2021/7/31,14:25:00,     0,- 0.144,+ 0.037,LLLL,LLLL
       139,2021/7/31,14:25:01,     0,+ 0.131,- 0.210,LLLL,LLLL
       140,2021/7/31,14:25:02,     0,+ 0.143,- 0.098,LLLL,LLLL
       141,2021/7/31,14:25:03,     0,+ 0.116,- 0.210,LLLL,LLLL
       142,2021/7/31,14:25:04,     0,+ 0.123,- 0.326,LLLL,LLLL
       143,2021/7/31,14:25:05,     0,+ 0.031,+ 0.046,LLLL,LLLL
       144,2021/7/31,14:25:06,     0,- 0.184,- 0.402,LLLL,LLLL
       145,2021/7/31,14:25:07,     0,+ 0.020,- 0.177,LLLL,LLLL
       146,2021/7/31,14:25:08,     0,+ 0.102,- 0.392,LLLL,LLLL
       147,2021/7/31,14:25:09,     0,+ 0.105,- 0.135,LLLL,LLLL
       148,2021/7/31,14:25:10,     0,+ 0.050,- 0.219,LLLL,LLLL
       149,2021/7/31,14:25:11,     0,- 0.014,- 0.289,LLLL,LLLL
       150,2021/7/31,14:25:12,     0,+ 0.071,- 0.345,LLLL,LLLL
       151,2021/7/31,14:25:13,     0,+ 0.075,- 0.075,LLLL,LLLL
       152,2021/7/31,14:25:14,     0,+ 0.122,- 0.213,LLLL,LLLL
       153,2021/7/31,14:25:15,     0,- 0.032,- 0.187,LLLL,LLLL
       154,2021/7/31,14:25:16,     0,+ 0.003,- 0.123,LLLL,LLLL
       155,2021/7/31,14:25:17,     0,+ 0.019,- 0.120,LLLL,LLLL
       156,2021/7/31,14:25:18,     0,+ 0.041,+ 0.018,LLLL,LLLL
       157,2021/7/31,14:25:19,     0,- 0.139,- 0.150,LLLL,LLLL
       158,2021/7/31,14:25:20,     0,- 0.027,- 0.047,LLLL,LLLL
       159,2021/7/31,14:25:21,     0,+ 0.090,+ 0.098,LLLL,LLLL
       160,2021/7/31,14:25:22,     0,- 0.211,+ 0.214,LLLL,LLLL
       161,2021/7/31,14:25:23,     0,+ 0.009,- 0.036,LLLL,LLLL
       162,2021/7/31,14:25:24,     0,+ 0.090,- 0.233,LLLL,LLLL
       163,2021/7/31,14:25:25,     0,+ 0.149,- 0.109,LLLL,LLLL
       164,2021/7/31,14:25:26,     0,+ 0.043,- 0.158,LLLL,LLLL
       165,2021/7/31,14:25:27,     0,+ 0.154,+ 0.056,LLLL,LLLL
       166,2021/7/31,14:25:28,     0,+ 0.125,- 0.331,LLLL,LLLL
       167,2021/7/31,14:25:29,     0,- 0.074,+ 0.092,LLLL,LLLL
       168,2021/7/31,14:25:30,     0,- 0.022,- 0.199,LLLL,LLLL
       169,2021/7/31,14:25:31,     0,+ 0.146,- 0.101,LLLL,LLLL
       170,2021/7/31,14:25:32,     0,- 0.027,- 0.107,LLLL,LLLL
       171,2021/7/31,14:25:33,     0,- 0.024,- 0.015,LLLL,LLLL
       172,2021/7/31,14:25:34,     0,+ 0.150,- 0.308,LLLL,LLLL
       173,2021/7/31,14:25:35,     0,- 0.024,- 0.069,LLLL,LLLL
       174,2021/7/31,14:25:36,     0,+ 0.065,- 0.260,LLLL,LLLL
       175,2021/7/31,14:25:37,     0,+ 0.135,- 0.123,LLLL,LLLL
       176,2021/7/31,14:25:38,     0,- 0.115,- 0.200,LLLL,LLLL
       177,2021/7/31,14:25:39,     0,+ 0.075,- 0.042,LLLL,LLLL
       178,2021/7/31,14:25:40,     0,+ 0.265,+ 0.036,LLLL,LLLL
