Vendor,GRAPHTEC Corporation,,,,,,,,,,,
Model,GL2000,,,,,,,,,,,
Version,Ver1.10,Rev0001,,,,,,,,,,
MaxChannel, 4CH,,,,,,,,,,,
Logic/Pulse, Off,,,,,,,,,,,
TempUnit, C,,,,,,,,,,,
Sampling interval, 200ms,,,,,,,,,,,
Total data points,3033,,,,,,,,,,,
Trigger,0,,,,,,,,,,,
Start time, 2021-12-29,14:14:32,,,,,,,,,,
End time, 2021-12-29,14:24:38,,,,,,,,,,
Trigger time, 2021-12-29,14:14:32,,,,,,,,,,
AMP settings,,,,,,,,,,,,
CH,Signal name,Amp,Input,Range,Filter,Span,,Unit,Color,,,Line Width
CH1," "" CH 1""", M, DC, 5V, Off,2.5,-2.5, V,28,5,6,0
CH2," "" CH 2""", M, DC, 5V, Off,2.5,-2.5, V,0,13,23,0
CH3," "" CH 3""", M, DC, 5V, Off,2.5,-2.5, V,9,22,8,0
Data,,,,,,,,,,,,
Number,Date,Time,us, CH1, CH2, CH3, Alarm,AlarmOut,,,,
NO.,Date,Time,us, V, V, V, A1234,AO1234,,,,
184,2021/12/29,14:15:08,600000,-0.011,-0.01,-0.779,LLLL,LLLL,,,,
185,2021/12/29,14:15:08,800000,-0.009,-0.01,-0.781,LLLL,LLLL,,,,
186,2021/12/29,14:15:09,0,-0.011,-0.011,-0.78,LLLL,LLLL,,,,
187,2021/12/29,14:15:09,200000,-0.01,-0.013,-0.779,LLLL,LLLL,,,,
188,2021/12/29,14:15:09,400000,-0.012,-0.013,-0.78,LLLL,LLLL,,,,
189,2021/12/29,14:15:09,600000,-0.011,-0.015,-0.777,LLLL,LLLL,,,,
190,2021/12/29,14:15:09,800000,-0.009,-0.013,-0.777,LLLL,LLLL,,,,
191,2021/12/29,14:15:10,0,-0.01,-0.012,-0.781,LLLL,LLLL,,,,
192,2021/12/29,14:15:10,200000,-0.011,-0.012,-0.78,LLLL,LLLL,,,,
193,2021/12/29,14:15:10,400000,-0.009,-0.012,-0.778,LLLL,LLLL,,,,
194,2021/12/29,14:15:10,600000,-0.009,-0.012,-0.778,LLLL,LLLL,,,,
195,2021/12/29,14:15:10,800000,-0.009,-0.013,-0.781,LLLL,LLLL,,,,
196,2021/12/29,14:15:11,0,-0.008,-0.014,-0.778,LLLL,LLLL,,,,
197,2021/12/29,14:15:11,200000,-0.009,-0.015,-0.78,LLLL,LLLL,,,,
198,2021/12/29,14:15:11,400000,-0.011,-0.014,-0.783,LLLL,LLLL,,,,
199,2021/12/29,14:15:11,600000,-0.008,-0.012,-0.78,LLLL,LLLL,,,,
200,2021/12/29,14:15:11,800000,-0.005,-0.011,-0.777,LLLL,LLLL,,,,
201,2021/12/29,14:15:12,0,-0.009,-0.013,-0.776,LLLL,LLLL,,,,
202,2021/12/29,14:15:12,200000,-0.009,-0.011,-0.779,LLLL,LLLL,,,,
203,2021/12/29,14:15:12,400000,-0.007,-0.009,-0.779,LLLL,LLLL,,,,
204,2021/12/29,14:15:12,600000,-0.009,-0.011,-0.781,LLLL,LLLL,,,,
205,2021/12/29,14:15:12,800000,-0.011,-0.009,-0.778,LLLL,LLLL,,,,
206,2021/12/29,14:15:13,0,-0.008,-0.01,-0.781,LLLL,LLLL,,,,
207,2021/12/29,14:15:13,200000,-0.008,-0.014,-0.778,LLLL,LLLL,,,,
208,2021/12/29,14:15:13,400000,-0.01,-0.01,-0.781,LLLL,LLLL,,,,
209,2021/12/29,14:15:13,600000,-0.009,-0.01,-0.78,LLLL,LLLL,,,,
210,2021/12/29,14:15:13,800000,-0.009,-0.012,-0.779,LLLL,LLLL,,,,
211,2021/12/29,14:15:14,0,-0.007,-0.011,-0.779,LLLL,LLLL,,,,
212,2021/12/29,14:15:14,200000,-0.011,-0.01,-0.78,LLLL,LLLL,,,,
213,2021/12/29,14:15:14,400000,-0.009,-0.01,-0.781,LLLL,LLLL,,,,
214,2021/12/29,14:15:14,600000,-0.005,-0.013,-0.779,LLLL,LLLL,,,,
215,2021/12/29,14:15:14,800000,-0.01,-0.013,-0.78,LLLL,LLLL,,,,
216,2021/12/29,14:15:15,0,-0.011,-0.013,-0.779,LLLL,LLLL,,,,
217,2021/12/29,14:15:15,200000,-0.008,-0.013,-0.78,LLLL,LLLL,,,,
218,2021/12/29,14:15:15,400000,-0.011,-0.012,-0.782,LLLL,LLLL,,,,
219,2021/12/29,14:15:15,600000,-0.013,-0.011,-0.781,LLLL,LLLL,,,,
220,2021/12/29,14:15:15,800000,-0.009,-0.012,-0.78,LLLL,LLLL,,,,
221,2021/12/29,14:15:16,0,-0.01,-0.011,-0.782,LLLL,LLLL,,,,
222,2021/12/29,14:15:16,200000,-0.011,-0.011,-0.779,LLLL,LLLL,,,,
223,2021/12/29,14:15:16,400000,-0.01,-0.011,-0.78,LLLL,LLLL,,,,
224,2021/12/29,14:15:16,600000,-0.01,-0.011,-0.781,LLLL,LLLL,,,,
225,2021/12/29,14:15:16,800000,-0.011,-0.01,-0.778,LLLL,LLLL,,,,
226,2021/12/29,14:15:17,0,-0.009,-0.011,-0.78,LLLL,LLLL,,,,
227,2021/12/29,14:15:17,200000,-0.009,-0.011,-0.779,LLLL,LLLL,,,,
228,2021/12/29,14:15:17,400000,-0.009,-0.016,-0.78,LLLL,LLLL,,,,
229,2021/12/29,14:15:17,600000,-0.011,-0.012,-0.781,LLLL,LLLL,,,,
230,2021/12/29,14:15:17,800000,-0.011,-0.012,-0.778,LLLL,LLLL,,,,
231,2021/12/29,14:15:18,0,-0.007,-0.013,-0.781,LLLL,LLLL,,,,
232,2021/12/29,14:15:18,200000,-0.011,-0.012,-0.784,LLLL,LLLL,,,,
233,2021/12/29,14:15:18,400000,-0.011,-0.012,-0.779,LLLL,LLLL,,,,
234,2021/12/29,14:15:18,600000,-0.009,-0.013,-0.779,LLLL,LLLL,,,,
235,2021/12/29,14:15:18,800000,-0.01,-0.012,-0.78,LLLL,LLLL,,,,
236,2021/12/29,14:15:19,0,-0.01,-0.01,-0.78,LLLL,LLLL,,,,
237,2021/12/29,14:15:19,200000,-0.009,-0.012,-0.78,LLLL,LLLL,,,,
238,2021/12/29,14:15:19,400000,-0.009,-0.011,-0.778,LLLL,LLLL,,,,
239,2021/12/29,14:15:19,600000,-0.008,-0.009,-0.778,LLLL,LLLL,,,,
